eia_plant_id,eia_plant_name,resource_names,locked
69414,Blevins Solar & Storage,BLVN_SLR_ESR1,0
69416,Aggreko MSR Grid PC2,LANTANA_ESR1,0
69576,Non-PLD US-El Paso - BSSAT004,APPLE_ESR1,0
68809,Hidden Lakes Reliability Project,EVLN_ESS_ESR1,0
69101,Millers Branch Solar,BART_SLR_SOLAR1,0
69152,Wizard Energy Storage,WZRD_ESS_ESR1,0
69297,BESS Stadium,STADIUM_ESR1,0
69337,Regis Laureles,LAURELES_ESR1,0
69339,Regis Lyssy,LYSSY_ESR1,0
55098,Frontera Energy Center,FRONT_EC_CC1_1,0
56763,Capricorn Ridge Wind LLC,CAPRIDG4_CR4;CAPRIDGE_CR1;CAPRIDGE_CR2;CAPRIDGE_CR3,0
59246,Goodnight,GOODNIT1_UNIT1;GOODNIT1_UNIT2,0
60271,"Canyon Wind Project, LLC",VORTEX_WIND1;VORTEX_WIND2;VORTEX_WIND3;VORTEX_WIND4,0
61343,Karankawa Wind LLC,KARAKAW1_UNIT1;KARAKAW1_UNIT2;KARAKAW2_UNIT3,0
61368,Midway Solar - TX,WAYMARK_UNIT1,0
62836,Maryneal Windpower,MARYNEAL_UNIT1,0
62909,"Raymond Wind Farm, LLC",EL_RAYO_UNIT1;EL_RAYO_UNIT2,0
62932,Oberon IB,OBERON_UNIT_1_J01;OBERON_UNIT_1_J02,0
63255,2W Permian Solar Project Hybrid,EUNICE_PV1;EUNICE_PV2,0
63655,Coyote Wind LLC,COYOTE_W_UNIT1;COYOTE_W_UNIT2;COYOTE_W_UNIT3,0
64295,Angleton,ANGLETON_ESR1,0
64296,Brazoria,BRAZORIA_ESR1,0
64318,Pueblo BA,PUEBLO_ESR1;PUEBLO_ESR2,0
64538,Corazon Energy LLC,CORAZON_UNIT1,0
64859,"IP Radian, LLC",RADN_SLR_UNIT1;RADN_SLR_UNIT2,0
64915,Flower Valley I,CEDRVALE_ESR1;SADLBACK_ESR1;SGSA_ESR1,0
65271,Noble Solar,NOBLESLR_SOLAR1;NOBLESLR_SOLAR2,0
65809,Caterina,CATARINA_ESR1,0
65837,Val Verde,GOODWIN_ESR1,0
65846,Hollow Branch Creek 1 Solar,MUSTNGCK_SOLAR1;MUSTNGCK_SOLAR2,0
65998,"True North Solar, LLC",ROSELAND_SOLAR1;ROSELAND_SOLAR2;ROSELAND_SOLAR3,0
66137,Zier Solar,ZIER_SLR_PV1,0
66168,Cattlemen Solar Park,LEON_SLR_UNIT1;LEON_SLR_UNIT2,0
66338,Callisto I Energy Center,ROSELAND_ESR1;STAM_SLR_ESR1,0
66400,Bexar ESS,BEXAR_ES_ESR1,0
66783,Weil Tract BESS,HEARN_RD_ESR1,0
66792,Falfurrias BESS,FALFUR_ESR1;FALFUR_ESR2,0
66804,Borden County BESS,BOCO_ESS_ESR1,0
66902,Roadrunner Wind Farm,RRC_WIND_UNIT1;RRC_WIND_UNIT2;RRC_WIND_UNIT3,0
66905,Ables Springs Solar & Storage,ASCK_SLR_SOLAR1;ASCK_SLR_SOLAR2;AZSP_SLR_SOLAR1,0
66928,SMT Santa Rosa LLC,L_FRESNO_ESR1;MAYBERRY_ESR1;MAYBERRY_ESR2,0
66934,SMT Rio Grande I LLC,CONTINEN_ESR1;GARCENO_ESR1,0
67046,Grimes County Solar,GRIM_SLR_UNIT1;GRIM_SLR_UNIT2;GRIM_SLR_UNIT3,0
67083,"Longbow BESS, LLC",BCNV2_ES_ESR1;BCNV_ESS_ESR1,0
67175,Rodeo Ranch Energy Storage,JADE_SLR_ESR1;JADE_SLR_ESR2;NOBLESLR_ESR1;NOBLESLR_ESR2;RADN_SLR_ESR1;RADN_SLR_ESR2,0
67493,Pavlov,PAVLOV_ESR1,0
67535,Bell Creek BESS LLC,MESQUITE_ESR1;MESQUITE_ESR2,0
67542,Blue Hills Wind Project,S_HILLS_UNIT1,0
68065,Chillingham Solar,CHIL_SLR_SOLAR1;CHIL_SLR_SOLAR2,0
68513,"Cartwheel 1 - Storage, LLC",CARTWHL_ESR1,0
68580,Headcamp BESS,HEADCAMP_ESR1,0
68759,Quantum BESS,QTUM_SLR_ESR1;QTUM_SLR_ESR2,0
68760,Quantum Solar,QTUM_SLR_UNIT1;QTUM_SLR_UNIT2,0
68851,Hermes Solar PV,HRMS_SLR_UNIT1,0
68852,Hermes Storage BESS,HRMS_SLR_ESR1,0
68853,Limewood Bell Renewables Solar,LMWD_SLR_SOLAR1,0
69044,Platinum Storage,PLATINUM_ESR1;PLATINUM_ESR2,0
67159,Liberty County Solar Project,LIBERTY_SOLAR,0
68483,"Diver Solar, LLC",DIVR_SLR_SOLAR2,0
64132,Oak Hill - Dry Creek,DRCK_SLR_SOLAR1,0
65847,Eldora Energy LLC,DORA_SLR_SOLAR2,0
57617,Hidalgo Wind Farm LLC,HIDALGO_WIND1,0
68458,"Roaring Springs, LLC",STAFFORD_SOLAR_AGG,0
62715,Wildcat Creek Wind Farm LLC,WILDWIND_UNIT1,0
67459,Bynum Solar Project,BYNM_SLR_SOLAR1,0
62587,Mesquite Star,WH_WIND_UNIT1;WH_WIND_UNIT2,1
59245,Fluvanna,FLUVANNA_UNIT1;FLUVANNA_UNIT2,0
61417,Gopher Creek Wind Farm,GOPHER_UNIT1;GOPHER_UNIT2,0
61920,Galloway 1 Solar Farm,GALLOWAY_SOLAR1;GALLOWAY_SOLAR2,0
61921,Tahoka Wind,TAHOKA_UNIT_1;TAHOKA_UNIT_2,0
61967,Norton Solar Farm,NRTN_SLR_SOLAR1,0
61969,"Torrecillas Wind Energy, LLC",TORR_UNIT1_25;TORR_UNIT2_23;TORR_UNIT2_25,0
62356,Lockett Windfarm,LOCKETT_UNIT1,0
63757,Madero Grid,MADERO_ESR1;MADERO_ESR2,0
63884,Delilah Solar Energy II LLC,DELILA_1_G1;DELILA_1_G2;DELILA_2_G1;DELILA_2_G2;DELILA_2_G3,0
63905,Azure Sky Solar,AZURE_SOLAR1;AZURE_SOLAR2,0
64233,Hecate Energy Frye Solar LLC,FRYE_SLR_UNIT1;FRYE_SLR_UNIT2,0
64316,Lopeno,LOPENO_ESR1,0
64528,Gambit Energy Storage - Angleton Storage,GAMBIT_ESR1,0
65463,Hornet Solar (TX),HRNT_SLR_UNIT1;HRNT_SLR_UNIT2;HRNT_SLR_UNIT3,0
65489,Dickens,DKNS_ESS_ESR1;DKNS_ESS_ESR2;DKNS_ESS_ESR3;DKNS_ESS_ESR4,0
65490,Hydra,HYDR_ESS_ESR1,0
65492,Pavo,PAVO_ESS_ESR1;PAVO_ESS_ESR2,0
65693,TX10 Hummingbird Storage,HMNG_ESS_ESR1,0
65813,Faulkner,FAULKNER_ESR1,0
65814,Gomez,GOMZ_ESR1,0
65829,Holcomb (TX),HOLCOMB_ESR1,0
65830,Junction (TX),JUNCTION_ESR1,0
65831,Lonestar,LONESTAR_ESR1,0
65835,Screwbean,SBEAN_ESR1,0
65860,Avila,AVIL_ESS_ESR1,0
65894,Stillhouse Solar,STLHS_SL_PV1,0
66009,Crossett Power Management LLC,CROSSETT_ESR1;CROSSETT_ESR2,0
66410,Grizzly Ridge Solar,GRIZZLY_SOLAR1,0
