project,resource_name,tech,status,queue_id,capacity_mw,hub,county,grade,overall_score,completeness_pct,verification_score,calibration_score,eia_crosswalk,eia_plant_id,sced_actuals,gen_profile,plant_value,location_confidence,portal,missing_fields,coverage
Fort Bend Solar LLC,EIA_63985,Solar,operating,,240.0,South,Fort Bend,D,53.3,100.0,60,0,True,63985,False,False,False,high,,,Registry; Solar Forecast
"ANSON Solar Center, LLC",ANSON1_UNIT1,Solar,operating,,200.0,North,Jones,C,66.7,100.0,100,0,True,64026,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
Taygete II Energy Project,EIA_64075,Solar,operating,,203.8,West,Pecos,D,53.3,100.0,60,0,True,64075,False,False,False,medium,,,Registry; Solar Forecast
CatanSolar,EIA_64079,Solar,operating,,10.0,South,Karnes,D,53.3,100.0,60,0,True,64079,False,False,False,high,,,Registry; Solar Forecast
"Old 300 Solar Center, LLC",EIA_64133,Solar,operating,,430.0,South,Fort Bend,B,86.7,100.0,60,100,True,64133,False,True,True,high,,,Registry; Solar Forecast; Plant Value
"Western Trail Wind, LLC",EIA_64149,Wind,operating,,366.6,North,Wilbarger,C,68.9,66.7,40,100,True,64149,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
"Azure Sky Wind Project, LLC Hybrid",EIA_64164,Wind,operating,,350.2,North,Throckmorton,C,68.9,66.7,40,100,True,64164,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Priddy Wind Project,PRIDDY_UNIT1,Wind,operating,,302.4,North,Mills,B,82.2,66.7,80,100,True,64165,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Elara Solar,ELARA_SL_UNIT1,Solar,operating,,132.4,South,Frio,C,66.7,100.0,100,0,True,64204,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
"Alexis Solar, LLC",EIA_64227,Solar,operating,,10.0,South,Brooks,D,53.3,100.0,60,0,True,64227,False,False,False,high,,,Registry; Solar Forecast
AP Sunray LLC,EIA_64258,Solar,operating,,203.5,South,Uvalde,D,53.3,100.0,60,0,True,64258,False,False,False,high,,,Registry; Solar Forecast
BPL Crown Solar LLC,GOLINDA_UNIT1,Solar,operating,,100.0,North,Falls,C,63.3,90.0,100,0,True,64259,True,False,False,high,,tracking_type,Registry; Solar Forecast; SCED ETL
